target_word,freq,LenChar,VowConRatio,label
جشنواه,144,6.0,0.5,1
مزراع,131,5.0,0.5,1
دورتری,322,6.0,0.6,1
اشتاد,171,5.0,0.5,1
رمضون,132,5.0,0.5,1
الاستثمارات,348,11.0,0.57,1
چهاررقمی,104,8.0,0.57,1
آبانگاه,120,7.0,0.6,1
تجربت,134,5.0,0.43,1
چرکین,699,5.0,0.4,1
نشنیدهاست,389,9.0,0.43,1
مستقلات,226,7.0,0.43,1
الدمام,190,6.0,0.6,1
ریلکسیشن,392,8.0,0.43,1
بیمارگون,148,8.0,0.6,1
وجودآمدن,188,8.0,0.5,1
الخسار,126,6.0,0.6,1
والصمود,184,7.0,0.4,1
میهمانی‌های,702,11.0,0.57,1
اسپوکن,138,6.0,0.5,1
اینگولشتات,157,10.0,0.5,1
احرونوت,179,7.0,0.6,1
لکتاب,114,5.0,0.5,1
وشهرستان,109,8.0,0.57,1
خوش‌لباس,247,8.0,0.5,1
الجامعیین,215,9.0,0.56,1
تاووش,182,5.0,0.4,1
بیرول,323,5.0,0.5,1
طالبلو,118,6.0,0.4,1
دل‌خراش,126,7.0,0.5,1
گیلگمش,258,6.0,0.4,1
دورنمات,176,7.0,0.6,1
اقداماتمان,214,10.0,0.62,1
ضرب‌وجرح,126,8.0,0.57,1
اسپایک,470,6.0,0.6,1
حدمجاز,302,6.0,0.43,1
یامین‌پور,396,9.0,0.5,1
العمیق,372,6.0,0.5,1
می‌شودکه,789,8.0,0.5,1
امشاسپندان,202,10.0,0.62,1
هدایت‌گر,539,8.0,0.43,1
دیباج,881,5.0,0.4,1
بادشکن,640,6.0,0.6,1
یکتاپرست,182,8.0,0.5,1
الدولتین,611,8.0,0.43,1
المناصب,220,7.0,0.6,1
کامکس,524,5.0,0.5,1
همکاران‌تان,216,11.0,0.5,1
السهم,458,5.0,0.4,1
نیمبورک,104,7.0,0.6,1
منطقه‌بندی,163,10.0,0.56,1
درنوع,163,5.0,0.5,1
لاورنس,473,6.0,0.6,1
دوجداره,435,7.0,0.38,1
القاذف,127,6.0,0.6,1
یگدیگر,160,6.0,0.33,1
فرماند‌هان,118,10.0,0.62,1
لیبرمان,771,7.0,0.6,1
شبکهای,179,6.0,0.6,1
بیافتند,720,7.0,0.6,1
دراردیبهشت,157,10.0,0.5,1
پاجرو,225,5.0,0.4,1
وسلیه,120,5.0,0.5,1
هرمترمربع,620,9.0,0.5,1
تبرزین,213,6.0,0.6,1
ضددینی,336,6.0,0.6,1
غیرالکلی,828,8.0,0.5,1
گشت‌وگذار,418,9.0,0.5,1
لئونگ,168,5.0,0.5,1
جرایمشان,107,8.0,0.5,1
کجایند,466,6.0,0.5,1
فوتونیک,365,7.0,0.5,1
پایندان,153,7.0,0.6,1
پرفرازونشیب,159,11.0,0.62,1
مازندارن,421,8.0,0.38,1
أخطاء,247,5.0,0.5,1
دلپاک,614,5.0,0.5,1
والمسؤولین,295,10.0,0.5,1
سیستمر,207,6.0,0.4,1
خیساندن,217,7.0,0.6,1
المقاعد,149,7.0,0.5,1
برکاهش,229,6.0,0.6,1
اغتشاش‌گران,133,11.0,0.44,1
شاپ‌های,289,7.0,0.6,1
چهارسر,170,6.0,0.5,1
نهفتهبود,342,8.0,0.38,1
تولوئن,422,6.0,0.5,1
میل‌گرد,117,7.0,0.5,1
سفراء,217,5.0,0.5,1
مستوطنات,178,8.0,0.57,1
آب‌و‌هوایی,158,10.0,0.62,1
انخفاض,493,6.0,0.6,1
التعلیم,852,7.0,0.5,1
بالتحدید,125,8.0,0.5,1
میسترال,212,7.0,0.6,1
اکسیداز,287,7.0,0.6,1
زیستهاست,120,8.0,0.33,1
بگنجانیم,594,8.0,0.57,1
ریستور,278,6.0,0.5,1
موریسون,885,7.0,0.6,1
وجدانا,149,6.0,0.5,1
دل‌نگران,558,8.0,0.57,1
خدمت‌رسان,174,9.0,0.5,1
نخوردهباشد,244,10.0,0.5,1
آمدهباشند,537,9.0,0.5,1
زانودرد,195,7.0,0.6,1
فرانسس,133,6.0,0.33,1
نانوساختارها,133,12.0,0.5,1
هدفدار,807,6.0,0.6,1
روشن‌کردن,227,9.0,0.5,1
الاربع,467,6.0,0.6,1
قطعه‌بندی,790,9.0,0.62,1
صورت‌مسئله,199,10.0,0.57,1
النسخ,366,5.0,0.33,1
بلندکردن,211,8.0,0.5,1
التنقل,102,6.0,0.5,1
وندرس,360,5.0,0.4,1
وعراق,682,5.0,0.5,1
اللهجه,126,6.0,0.38,1
الممیز,174,6.0,0.6,1
قره‌آغاج,201,8.0,0.57,1
رفتهاند,150,7.0,0.5,1
زیرسیستم,553,8.0,0.5,1
والوکال,216,7.0,0.6,1
آرماتوربند,204,10.0,0.44,1
جاماندند,148,8.0,0.38,1
فابریکه,118,7.0,0.6,1
غیرمقاوم,119,8.0,0.6,1
نامقدس,255,6.0,0.6,1
نووگورود,388,8.0,0.57,1
پرینترها,281,8.0,0.5,1
استحمار,114,7.0,0.5,1
دمپینگ,116,6.0,0.4,1
القابون,534,7.0,0.6,1
الشیخوخ,118,7.0,0.6,1
نتائجها,190,7.0,0.44,1
زیاندیدگان,627,10.0,0.57,1
إحداث,198,5.0,0.5,1
ویندسور,287,7.0,0.5,1
چترود,199,5.0,0.4,1
شرکتهاست,194,8.0,0.43,1
کنیست,203,5.0,0.5,1
نشدهاند,209,7.0,0.5,1
هیرسوتیسم,202,9.0,0.5,1
می‌نگارد,195,8.0,0.6,1
درآمیخته,527,8.0,0.57,1
وبلغت,137,5.0,0.4,1
انتقامجویی,387,10.0,0.6,1
وطلاب,113,5.0,0.5,1
آنسامبل,438,7.0,0.5,1
به‌قدر,217,6.0,0.5,1
مؤدیانی,243,7.0,0.6,1
تخممرغ,137,6.0,0.33,1
دستپاچگی,816,8.0,0.43,1
سوء‌تفاهم,292,9.0,0.43,1
پایونیر,431,7.0,0.6,1
هنسون,209,5.0,0.5,1
کردمیهن,352,7.0,0.5,1
معمارنژاد,434,9.0,0.57,1
درسالن,702,6.0,0.6,1
جانکشن,213,6.0,0.29,1
غیرهمسو,299,7.0,0.6,1
زیرسطح,130,6.0,0.4,1
باوجدان,109,7.0,0.43,1
ساختوساز,140,8.0,0.5,1
بی‌تعادل,151,8.0,0.43,1
خدامحور,406,7.0,0.6,1
تکتیک,105,5.0,0.5,1
وستون,357,5.0,0.5,1
البدیع,121,6.0,0.6,1
آبخاز,243,5.0,0.5,1
بابک‌زنجانی,167,11.0,0.56,1
صدتومانی,149,8.0,0.5,1
انسحاب,506,6.0,0.6,1
هواووی,152,6.0,0.5,1
اسپند,813,5.0,0.4,1
صیدگاه,206,6.0,0.5,1
لوکسژن,358,6.0,0.4,1
العجمی,127,6.0,0.38,1
موتورلا,299,7.0,0.5,1
گرفتارند,488,8.0,0.57,1
جنبلاط,526,6.0,0.43,1
ابتداء,588,6.0,0.6,1
فراموش‌نشدن,111,11.0,0.62,1
ازداد,172,5.0,0.5,1
هیچ‌کاره,333,8.0,0.5,1
استطلاع,478,7.0,0.5,1
پاستورنشینان,118,12.0,0.62,1
رومرکز,477,6.0,0.6,1
أجبرت,109,5.0,0.43,1
لغزان,196,5.0,0.5,1
لسینگ,196,5.0,0.5,1
الغربیون,159,8.0,0.57,1
افراشتن,117,7.0,0.5,1
هیچ‌عنوان,464,9.0,0.43,1
نانجینگ,587,7.0,0.29,1
للضغط,327,5.0,0.6,1
هنرپرور,151,7.0,0.57,1
نرسیدهبودند,355,11.0,0.62,1
والحشد,514,6.0,0.4,1
ریاستجمهوری,371,11.0,0.56,1
بیست‌وسومین,279,11.0,0.56,1
بتونس,215,5.0,0.6,1
شله‌زرد,183,7.0,0.5,1
استاندراد,117,9.0,0.38,1
کامزد,149,5.0,0.5,1
برونسی,381,6.0,0.6,1
تولیداشتغال,218,11.0,0.56,1
شیخ‌زاده,217,8.0,0.5,1
المفوض,203,6.0,0.6,1
المسالک,141,7.0,0.6,1
آلاشت,332,5.0,0.5,1
ازیک‌طرف,149,8.0,0.43,1
یحبون,121,5.0,0.5,1
دکترعلی,776,7.0,0.29,1
العبید,134,6.0,0.6,1
بهدست,329,5.0,0.4,1
وتدوین,129,6.0,0.6,1
رجبیه,169,5.0,0.33,1
موهاست,155,6.0,0.4,1
ومقاومت,140,7.0,0.5,1
اثنان,293,5.0,0.5,1
نت‌بوک,189,6.0,0.6,1
یعتقدون,289,7.0,0.5,1
بحکوم,159,5.0,0.5,1
آبشوران,118,7.0,0.6,1
کاردک,225,5.0,0.5,1
روزچنگ,324,6.0,0.33,1
المنظور,111,7.0,0.5,1
آپدایک,119,6.0,0.6,1
النخیل,225,6.0,0.6,1
گفت‌وگوست,171,9.0,0.3,1
خرید‌و‌فروش,122,11.0,0.56,1
بهرهمندی,377,8.0,0.57,1
لیفتراک,341,7.0,0.6,1
ستزید,101,5.0,0.5,1
ولتامتری,112,8.0,0.43,1
سیناپس‌ها,278,9.0,0.57,1
نوبته,152,5.0,0.6,1
ومشکلات,568,7.0,0.5,1
رونآلپ,104,6.0,0.5,1
بارلو,166,5.0,0.5,1
بیشتراز,444,7.0,0.6,1
وظهور,140,5.0,0.5,1
چرمشیر,455,6.0,0.4,1
آنتروپوید,125,9.0,0.62,1
فرنگیس,578,6.0,0.4,1
ازگذشت,230,6.0,0.29,1
گذاردهبود,128,9.0,0.5,1
درخواهید,137,8.0,0.5,1
اشکفت,305,5.0,0.4,1
الاوساط,188,7.0,0.6,1
الصفر,328,5.0,0.6,1
هستی‌شناس,516,9.0,0.5,1
کلهون,200,5.0,0.5,1
هرچهار,110,6.0,0.33,1
توانمندساز,362,10.0,0.5,1
اوشین,724,5.0,0.5,1
خوش‌قول,239,7.0,0.4,1
قنطورس,519,6.0,0.4,1
ترمال,102,5.0,0.5,1
وجهاد,131,5.0,0.5,1
ومزارع,121,6.0,0.4,1
تنگزی,102,5.0,0.5,1
آنچارتد,741,7.0,0.29,1
مستدرک,818,6.0,0.5,1
بیلیچینگ,170,8.0,0.5,1
مگذار,164,5.0,0.5,1
آنچیزی,458,6.0,0.6,1
خواهدنشاند,129,10.0,0.62,1
الهزائم,164,7.0,0.5,1
استفتاءات,120,9.0,0.57,1
جاواسکریپت,147,10.0,0.62,1
اقترحت,112,6.0,0.5,1
برادوست,388,7.0,0.6,1
بی‌دانه,326,7.0,0.6,1
دخترجوان,382,8.0,0.5,1
امیرحمزه,123,8.0,0.62,1
دخترجوانی,145,9.0,0.5,1
بطهران,777,6.0,0.6,1
هستی‌بخش,239,8.0,0.43,1
دکورها,213,6.0,0.6,1
شانتاژهای,171,9.0,0.5,1
کورگان,129,6.0,0.5,1
سردابه,297,6.0,0.6,1
پیچیده‌است,179,10.0,0.43,1
ازشهرهای,104,8.0,0.57,1
مقتوله,627,6.0,0.6,1
دربدن,188,5.0,0.4,1
اظهارداشتند,119,11.0,0.62,1
معقولات,132,7.0,0.6,1
سنتورنوازی,124,10.0,0.57,1
دسته‌چک,678,7.0,0.43,1
آندزیت,201,6.0,0.5,1
پیرزاد,227,6.0,0.5,1
